pergunta;alternativa1;alternativa2;alternativa3;alternativa4;alternativa5;gabarito
No Diagrama de Sequências, na UML 2.2, o operador strict:;representa uma restrição de acesso a um objeto na linha de vida.;permite definir trechos alternativos dentro de uma interação.;permite uma execução paralela de trechos de interação.;significa que as mensagens não podem ser intercaladas com outras mensagens.;representa uma sequência rigorosa no trecho da interação.;E
Identifique como verdadeiros (V) os itens a seguir que são técnicas de elicitação e como falsos (F) os que não são:\n( ) Entrevista.\n( ) Análise.\n( ) Análise de protocolos.\n( ) Modelagem.\n( ) Cenários.\nAssinale a alternativa que apresenta a sequência correta, de cima para baixo.;F – V – F – V – F.;V – F – V – F – V.;F – V – V – F – V.;V – F – V – V – V.;V – V – F – V – F.;B
Identifique como verdadeiros (V) os itens a seguir que são dimensões do levantamento de requisitos e como falsos (F) os que não são:\n( ) Domínio da aplicação.\n( ) Problema a ser solucionado.\n( ) Necessidades e restrições dos envolvidos.\n( ) Contexto do negócio.\n Assinale a alternativa que apresenta a sequência correta, de cima para baixo.;F – V – F – V.;F – V – V – F.;V – F – F – F.;V – F – V – V.; V – V – V – V.;E
Sobre tipos de dados nativos do ORACLE 11g, identifique as afirmativas a seguir como verdadeiras (V) ou falsas (F):\n( ) O tamanho máximo de um VARCHAR2 é 2000 bytes.\n( ) O tamanho máximo de um RAW é 4000.\n( ) O tamanho máximo de um CHAR é 4000 bytes.\n( ) O tamanho máximo de um BFILE é 4 gigabytes\nAssinale a alternativa que apresenta a sequência correta, de cima para baixo.;F – F – F – V.;F – F – V – F.;V – F – F – F.;V – V – F – V.;V – V – V – V.;A
Sobre replicação em banco de dados ORACLE, considere as seguintes afirmativas:\ni) A replicação multimaster é uma replicação simplex entre o servidor base e seus pares.\nii) Em uma replicação síncrona, mudanças feitas em um sítio-mestre ocorre imediatamente nos outros sítios participantes.\niii) Em uma replicação procedural, pode-se mudar uma grande quantidade de dados em uma única transação.\niv) Em uma replicação assíncrona, pode-se configurar o tempo entre as transferências de dados.\nAssinale a alternativa correta.;Somente a afirmativa 2 é verdadeira;Somente as afirmativas 3 e 4 são verdadeiras.;Somente as afirmativas 1, 2 e 3 são verdadeiras.;Somente as afirmativas 2, 3 e 4 são verdadeiras.;As afirmativas 1, 2, 3 e 4 são verdadeiras.;D
Sobre PostgreSQL, considere as seguintes afirmativas:\ni) O comando TRUNCATE remove todo o conteúdo da tabela imediatamente.\nii) O comando VACUUM, sem outras opções, apenas recupera o espaço, tornando-o disponível para ser reutilizado.\niii) O comando VACUUM FULL obtém um bloqueio exclusivo de cada tabela enquanto ela é processada pelo comando\niv) O comando VACUUM FREEZE paralisa uma instrução em andamento do comando VACUUM.\nAssinale a alternativa correta.;Somente a afirmativa 1 e 3 são verdadeiras.;Somente as afirmativas 3 e 4 são verdadeiras.;Somente as afirmativas 1, 2 e 4 são verdadeiras.;Somente as afirmativas 2, 3 e 4 são verdadeiras.;As afirmativas 1, 2, 3 e 4 são verdadeiras.;C
Identifique como verdadeiros (V) os itens a seguir que são fases do RUP e como falsos (F) os que não são:\n( ) Construção.\n( ) Implementação.\n( ) Elaboração.\n( ) Transição.\n( ) Configuração.\nAssinale a alternativa que apresenta a sequência correta, de cima para baixo.;V – V – F – F – F.;V – F – V – V – F.;F – V – F – F – V.;F – F – V – V – V.;F – V – F – V – F.;B
Teste em RUP tem como finalidade:\ni) Verificar a integração adequada de todos os componentes do software.\nii) Identificar e garantir que os defeitos são abordados antes da implantação do software.\niii) Verificar a interação entre objetos.\niv) Testar os componentes desenvolvidos como unidades.\nAssinale a alternativa correta.;Somente as afirmativas 2 e 3 são verdadeiras.;Somente as afirmativas 1 e 4 são verdadeiras.;Somente as afirmativas 1, 2 e 3 são verdadeiras.;Somente as afirmativas 2, 3 e 4 são verdadeiras.;As afirmativas 1, 2, 3 e 4 são verdadeiras.;C
Sobre o método delete (Path) em Javase I/O, julgue as seguintes afirmativas como (V) verdadeiras ou (F) falsas:\n( ) Exclui um arquivo ou gera uma exceção se a exclusão falha.\n( ) Exclui o arquivo mas, se o arquivo não existir, nenhuma exceção é gerada.\n( ) Com ligações simbólicas (symbolic link), a ligação é excluída juntamente com o destino da ligação.\n( ) A exclusão de diretórios falha se o mesmo não estiver vazio.\nAssinale a alternativa que apresenta a sequência correta, de cima para baixo.;V – V – V – V.; V – F – F – V.;V – F – F – F.;F – V – F – V.;F – V – V – V.;B
Sobre JavaScript, considere as seguintes afirmativas:\ni) O primeiro caractere de um identificador deve ser uma letra, um underline (sublinhado “_”), um sinal de cifrão “$”, ou um número.\nii) Depois de cada instrução simples é necessário colocar um ponto-e-vírgula “;”.\niii) A linguagem é case sensitive.\niv) null, catch, final são palavras reservadas e não podem ser utilizadas como identificadores.\nAssinale a alternativa correta;Somente as afirmativas 2 e 4 são verdadeiras.;Somente as afirmativas 1 e 2 são verdadeiras.;Somente as afirmativas 2, 3 e 4 são verdadeiras.;Somente as afirmativas 3 e 4 são verdadeiras.;Somente as afirmativas 1, 2 e 3 são verdadeiras.;D
Sobre HTML5, numere a coluna da direita com base na informação da coluna da esquerda.\ni) <a>\nii) <b>\niii) <embeded>\niv) <th>\nv) <ul>\nAssinale a alternativa que apresenta a sequência correta na coluna da direita, de cima para baixo.;4 – 1 – 5 – 2 – 3.;1 – 3 – 4 – 5 – 2.;2 – 4 – 3 – 1 – 5.;3 – 5 – 1 – 2 – 4.;5 – 2 – 4 – 3 – 1.;A
A respeito de comandos em SQL, considere as seguintes afirmativas:\ni) LEFT JOIN retorna todas as linhas da tabela à esquerda, que combinam com as linhas da tabela à direita.\nii) JOIN retorna as linhas onde há combinações em ambas as tabelas.\niii) FULL JOIN retorna o produto cartesiano das duas tabelas.\niv) CROSS JOIN retorna todas as linhas de ambas as tabelas.\nAssinale a alternativa correta.;Somente a afirmativa 1 é verdadeira.;Somente a afirmativa 2 é verdadeira.;Somente as afirmativas 2, 3 e 4 são verdadeiras.;Somente as afirmativas 3 e 4 são verdadeiras.;Somente as afirmativas 1, 2 e 4 são verdadeiras.;B
Em modelagem de dados relacional, uma relação normalizada está em 1FN:\ni) Se, e somente se, em todo valor válido dessa variável de relação (tabela), cada tupla contém exatamente um valor para cada atributo.\nii) Se ela não possuir tabelas aninhadas.\niii) Se nenhum domínio que não seja chave for dependente funcionalmente de qualquer outro domínio que não seja chave.\niv) Se todos os domínios que não são chaves forem completamente dependentes funcionalmente da chaveprimária.\n; Somente a afirmativa 1 é verdadeira.; Somente as afirmativas 1 e 2 são verdadeiras.; Somente as afirmativas 2, 3 e 4 são verdadeiras.; Somente as afirmativas 1, 3 e 4 são verdadeiras.; Somente as afirmativas 1, 2 e 3 são verdadeiras.;B
Sobre modelagem de dados relacional – entidades fracas, considere:\ni) Pode ser identificada unicamente apenas se considerarmos a chave primária de outra entidade (proprietária).\nii) Um conjunto-entidade proprietário e um conjunto-entidade fraca têm que participar em um conjuntorelacionamento um-para-muitos (um proprietário, muitas entidades fracas).\niii) O conjunto de atributos de um conjunto-entidade fraca que unicamente a identifica para um dado proprietário é chamado de chave parcial (pname).\niv) O conjunto-entidade fraca tem participação total no conjunto-relacionamento identificado.\nAssinale a alternativa correta.;As afirmativas 1, 2, 3 e 4 são verdadeiras.;Somente as afirmativas 1 e 2 são verdadeiras.;Somente as afirmativas 2, 3 e 4 são verdadeiras.;Somente a afirmativa 4 é verdadeira.;Somente a afirmativa 3 é verdadeira.;A
Sobre restrições de generalização/especialização em modelagem de dados relacional, considere as seguintes afirmativas:\ni) Numa restrição de sobreposição, uma entidade de uma superclasse deve ser membro, no máximo, de uma única subclasse.\nii) Numa restrição de disjunção, uma entidade de uma superclasse pode ser membro de mais do que uma subclasse.\niii) Numa restrição de completude total, cada entidade de uma subclasse deve ser membro de alguma especialização.\niv) Restrições de disjunção e de completude são independentes.\nAssinale a alternativa correta.;Somente as afirmativas 1 e 2 são verdadeiras.;Somente as afirmativas 2 e 4 são verdadeiras.;Somente as afirmativas 2, 3 e 4 são verdadeiras.;Somente as afirmativas 3 e 4 são verdadeiras.;Somente as afirmativas 1, 2 e 3 são verdadeiras.;D
Sobre polimorfismo, numere a coluna da direita com base na informação da coluna da esquerda.\ni)Universal/inclusão.\nii)Universal/paramétrico.\niii)Ad-Hoc/Sobrecarga.\niv)Ad-Hoc/Coerção.\n( ) Uma única função é codificada e ela trabalhará uniformemente num intervalo de tipos.\n( ) É uma conversão automática de tipo.\n( ) Um ponteiro para classe mãe pode apontar para uma instância de uma classe filha.\n( ) Funções/métodos com o mesmo nome, mas com assinaturas diferentes.\nAssinale a alternativa que apresenta a sequência correta na coluna da direita, de cima para baixo;1 – 3 – 4 – 2.;2 – 1 – 3 – 4.;2 – 4 – 1 – 3.;3 – 1 – 4 – 2.;3 – 2 – 4 – 1.;C
Na análise orientada a objetos, “um conceito, uma abstração, algo com limites nítidos e significado em relação à realidade estudada” refere-se a:;Abstração de dados.;Atributo de ligação.;Classe.;Persistência de objeto.;Objeto.;E
Na análise orientada a objetos, assinale a alternativa correta sobre composição:;É uma relação do tipo “todo/parte” ou “possui um”, na qual uma classe representa um objeto grande que é composto por objetos menores com tempo de vida independente da classe.;É uma relação entre uma interface e a classe que a implementa.;Determina que o objeto parte pode pertencer a somente um todo e as partes devem viver e morrer com o todo.;É a capacidade de dois ou mais objetos responderem à mesma mensagem, cada um a seu próprio modo.;Permite compartilhar uma estrutura comum entre várias subclasses similares sem redundância.;C
A respeito de diagrama de atividades, em UML 2.2, “uma unidade básica existente para a especificação de um comportamento que venha a representar alguma transformação ou processamento na modelagem de um sistema” define:;Ação;Atividade;Fluxo de controle;Fluxo de objeto;Nó de objeto;A
É/são resultado(s) da fase de concepção (inception), em RUP:;os requisitos de compreensão, como evidenciado pela fidelidade dos principais casos de uso.;a credibilidade das estimativas de custo/programação, prioridades, riscos e processo de desenvolvimento.;uma descrição de arquitetura de software.;um documento de visão: uma visão geral dos requisitos do núcleo do projeto, das principais características e principais restrições.;o manual do usuário.;D
Segundo Chris Gane, são elementos de um diagrama de fluxo de dados, em metodologia de análise estruturada:;Ator, cenário principal, cenários alternativos, associações, generalizações.;Entidade externa, processo, fluxo e depósito de dados.;Estrutura de dados, elemento de dados, processos, depósitos de dados.;Origem, processo, decisão, classificação, destino.;Ator, processo, tabelas, relações, fluxos.;B
Assinale V(verdadeiro) ou F(falso). São componentes do modelo ambiental, em análise essencial:\n( ) Declaração de objetivos.\n( ) Lista de eventos.\n( ) DFD particionado.\n( ) Diagrama de contexto.\nAssinale a alternativa que apresenta a sequência correta, de cima para baixo.;F – F – F – V.;F – V – V – F.;V – F – V – V.;V – V – F – F.;F – F – V – F.;B
A matriz de Mudge:;Sintetiza o valor que o sistema agregará ao negócio do cliente.;Descreve as funções que o software deverá desempenhar para atender os requisitos de negócio.;Determina uma hierarquia entre as funções do produto baseado em uma análise comparativa das funções duas a duas até que todas sejam comparadas entre si pelo cliente.;Permite o rastreamento de cada um dos requisitos funcionais em relação aos requisitos de negócio e vice-versa.;Permite rastrear os requisitos para o planejamento das liberações, de acordo com a sua importância para o cliente.;C
Elicitação de requisitos é:;A forma de como um requisito pode ser documentado.;A ação de determinar se o estado do requisitos é obscuro, incompleto, ambíguo, ou contraditório e resolver estes problemas.;Utilizar os requisitos alocados como base para as atividades do desenvolvimento de software.;A tarefa de comunicar-se com os usuários e clientes para determinar quais são os requisitos de sistema.;A ação de agrupar os diversos requisitos coletados em categorias bem-definidas.;D
Relacionamentos são as ligações que devem existir entre as entidades. A chave que tem a mesma funcionalidade da chave primária, porém, neste momento, não está exercendo a função de chave primária, pois está sendo usado como atributo comum, é denominada de;chave eleita;chave estrangeira;chave candidata;super chave;chave composta;C
Os tipos de dados são uma parte fundamental da tecnologia da informação. Eles são a base de todas as informações digitais e são essenciais para a análise, o processamento e o armazenamento de dados. Assim sendo é CORRETA a afirmação indicada na opção.;São exemplos de dados semiestruturados incluem e-mails, documentos, páginas da web, feeds de mídia social, arquivos de imagem e de áudio.;Os dados estruturados não seguem uma estrutura rígida, mas eles têm um formato predefinido que permite a consulta e análise.;Os dados semiestruturados são mais desafiadores para consultar e analisar, pois, geralmente, requerem técnicas mais avançadas de processamento de linguagem natural e inteligência artificial.;Uma das principais vantagens dos dados estruturados é que eles podem ser facilmente consultados e analisados por meio de consultas SQL.;Os dados não estruturados são geralmente armazenados em formatos como XML, JSON e YAML.;D
Entre os métodos utilizados para ordenarem matrizes, o Quick Sorte apresenta as seguintes características:;executa a pesquisa de um elemento em uma matriz, comparando-o aos elementos da matriz um após o outro até obter o resultado “verdadeiro” ou chegar ao fim da matriz.;compara os elementos de uma matriz que estão separados por uma distância específica chamada gap, até que os elementos comparados com o gap corrente estejam em ordem.;compara os elementos de uma matriz que estão separados por uma distância específica chamada gap, até que os elementos comparados com o gap corrente estejam em desordem.;é um método de transformação da chave de pesquisa, os registros armazenados em uma tabela são diretamente endereçados sobre a chave de pesquisa.;seleciona o valor central da lista como um separador. A partir daí ele cria duas listas: a primeira, com os valores menores que o separador e outra, com os valores maiores ou iguais ao separador.;E
Um SGBD é responsável, também, pela harmonização de dados quando eles são trabalhados por diversos bancos simultaneamente. Para que não haja informação duplicada ou algum tipo de inconsistência, a ferramenta utiliza a seguinte funcionalidade:;disponibilidade.;controle de redundância.;escalabilidade.;esquematização.;relacionamento.;B
Quando usamos uma subconsulta em uma query, a subconsulta é resolvida primeiro e, então, a consulta externa (principal) é resolvida de acordo com o resultado retornado pela subconsulta (subquery). Por isso algumas regras gerais precisam ser seguidas para que seja possível empregar subconsultas, como, por exemplo,;as subconsultas são escritas dentro de parênteses e separadas por ponto e vírgula.;se a subconsulta retornar mais de uma dúzia linha de dados, é necessário usar operadores de valores múltiplos, como o operador lógico WHERE.;não é possível usar uma cláusula GROUP BY em uma subconsulta.;assim como podemos usar o operador BETWEEN com uma subconsulta (na consulta principal), podemos também usar esse operador dentro da subconsulta.;a subconsulta pode ter apenas uma única coluna em sua cláusula SELECT, exceto quando a consulta principal tiver múltiplas colunas para comparação com as colunas selecionadas;E
A normalização é um passo importante para quem está modelando um banco de dados relacional e, certamente, resulta em uma maior eficiência na hora de abstrair o banco e seus atributos. A quarta forma normal é focada em;eliminar dependências multivariadas entre os atributos chave, isto é, se há mais atributos que se repetem na tabela.;identificar os campos que não dependem da chave primária e dependem de um outro campo não chave.;organizar os atributos que dependem uns dos outros, porém que não são atributos-chaves (primárias ou estrangeiras).;possíveis redundâncias nas tabelas e define se os atributos da tabela dependem inteiramente da chave primária.;tratar as repetições e certificar que os atributos estão sendo armazenados de forma única.;A
Álgebra Relacional é o conjunto básico de operações para o Modelo Relacional. Essas operações permitem a um usuário especificar as solicitações básicas de recuperação. No que diz respeito a essas operações, assinale a alternativa INCORRETA.;enquanto a operação de seleção seleciona algumas das tuplas da relação e descarta outras, a operação de projeção seleciona certas colunas da relação e descarta outras.;a operação Junção indicada por é usada para combinar as tuplas relacionadas em duas relações dentro de uma tupla única.;o operador de junção natural combina as tuplas de duas relações que têm atributos comuns (mesmo nome), resultando numa relação que contém apenas as tuplas em que todos os atributos comuns apresentam o mesmo valor.;em um Outer Join existe a possibilidade de que algumas das linhas de uma ou ambas as tabelas de uma junção não façam parte da tabela resultante.;a operação Produto Cartesiano é também conhecida como Cross Product (Produto Cruzado) ou Cross Join (Junção Cruzada) que é indicada por “x”. Essa é uma operação binária que combina as tuplas de duas relações de forma combinatória.;D
Dentre os tipos de dados para armazenamento de data e hora em bancos de dados Microsoft SQL Server, assinale a alternativa cujo tipo de data armazena data e hora com precisão de até 100 ns. É uma boa escolha para cenários, onde é necessário armazenar o valor de tempo até frações de segundo, e ainda, sua precisão é ajustável, e seu tamanho depende da precisão escolhida.;TIME;DATETIME;DATETIME2;SMALLDATETIME;DATETIMEOFFSET;C
No mundo atual, orientado por dados, as empresas e organizações dependem de bases de dados para gerirem as suas operações e tomar decisões estratégicas. Dois sistemas populares de gerenciamento de banco de dados são os sistemas OLTP e OLAP. Assinale a afirmativa que se refere a uma das características do OLAP.;Lidam com um baixo volume de grandes transações, processando efetivamente atualizações ou inserções de dados.;As transações geralmente envolvem a inserção, atualização ou exclusão de pequenas quantidades de dados.;As organizações geralmente usam sistemas OLAP em sistemas transacionais que requerem acesso rápido a dados e recuperação para processarem grandes volumes de pequenas transações.;Oferecem baixa latência de dados e fornecem atualizações de dados em tempo real, garantindo disponibilidade imediata de dados atualizados aos usuários.;Usam um modelo de dados que minimiza a redundância e garante a consistência dos dados. Isso resulta em armazenamento e recuperação eficiente de dados.;A
Assinale a alternativa que se refere à propriedade em transação de bancos de dados, importante para garantir a validade dos dados, mesmo que ocorram erros durante o armazenamento ou problemas mais graves no sistema, como crashes ou problemas físicos em um servidor, exemplificada na situação descrita a seguir. Imagine dois clientes tentando comprar o último exemplar de um produto em estoque, simultaneamente. O primeiro a finalizar a compra fará com que a transação do outro seja interrompida, sofrendo rollback que é;consistência.;atomicidade.;isolamento.;durabilidade.;escalabilidade.;C

\ni)\nii)\niii)\niv)\nv)\n;;;;;;
\n\n\n\n\n;;;;;;
;;;;;;
